Index,Model Name,Col3,Col4,Col5,Col6,Col7,Col8
48,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9969834503685873,0.6312754751215411,0.7622410436469396,0.8612306756818002,3.772682514364496,5.205114611194331
56,LinearRegression,0.9509443162613958,2.4137456992619457,3.1564944070640397,0.4443569517815897,6.531642954466625,10.303218566646622
56,GradientBoostingRegressor,0.9996119757080402,0.1228453280288216,0.25623880066327914,0.737356949123806,5.121697949054186,7.009115659005126
56,ExtraTreesRegressor,1.0,2.2507789283159643e-13,4.1350205968132555e-13,0.8385212626606476,3.9825028571428405,5.59652335256404
56,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9954803401473091,0.7720530830821263,0.938569246823123,0.8623948887241003,3.7951273344605596,5.239981959923706
57,LinearRegression,0.9512580931221324,2.4122224803457586,3.1475104464703816,0.5127469640667187,6.347094037983739,9.531534506184135
57,GradientBoostingRegressor,0.9997860950852632,0.1054867491773783,0.1941169741280302,0.7969902842736684,4.399571412793672,6.328585800739603
57,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1381110989403717e-13,0.8318371124154261,3.757507301587286,5.420305220060387
57,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9951675603238563,0.7807647439942246,0.9635121374457674,0.8757835669485061,3.526334352515574,4.884254683801687
72,LinearRegression,0.9533984862509595,2.348394795683079,3.075249869878039,0.6157107262906574,6.302850767209565,8.488899999034226
72,GradientBoostingRegressor,0.9997638068067122,0.11270105450449966,0.21051320078359362,0.7669674302868061,4.654458209362355,6.785752180810901
72,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1367458542008117e-13,0.8345046853142813,3.9866161904761825,5.6069608407778855
72,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9947285290405748,0.8253750734055443,1.0190861011447576,0.8688568551248961,3.8884049456782583,5.069251108084679
74,LinearRegression,0.9508214705812372,2.419459771889753,3.157362298216689,0.3801183165933161,6.51778715492542,10.152027671109073
74,GradientBoostingRegressor,0.9997599307029924,0.118796590165734,0.2171954438430656,0.7595782213915123,4.898946211633186,6.824685871575267
74,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.137716691239197e-13,0.7738878734914743,4.333974920634918,6.530242776248125
74,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9956281500839473,0.7478765423665671,0.9185710209265372,0.8669109572756755,3.7504904993998474,5.12769965755503
87,LinearRegression,0.9526310607902589,2.403595677253428,3.102012554867221,0.32885632170794066,6.51392397561398,10.541403877503086
87,GradientBoostingRegressor,0.999702198095334,0.10730538011127466,0.21196325152653936,0.7854558163084782,4.721888432730426,6.367606311091165
87,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.136689418867563e-13,0.8512531394026792,3.8846898412698394,5.3792056014379925
87,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9964557674904517,0.635372411007402,0.785072496956643,0.8618406833606811,3.8105901430656433,5.203095815161468
